config,df1_idx,attribute,ground_truth,predicted,correct,unknown
RAG-full,14,model_number,GV-R56XTGAMING OC-6GD,RX-5600XT-6G,False,False
RAG-full,52,bus_type,SATA III,SATA III,True,False
RAG-full,52,interface_type,SATA,M.2,False,False
RAG-full,72,model_number,CT1000P1SSD8,CT1000P1SSD8,True,False
RAG-full,127,model_number,NEAT7100HD46H,NEAT7100HD46H,True,False
RAG-full,130,model_number,DC450R/3840G,Data Centre DC450R,False,False
RAG-full,132,model_number,CZ73,SDCZ33-064G-G46,False,False
RAG-full,136,form_factor,3.5”,3.5”,True,False
RAG-full,136,storage_connection_type,3.5” SATA,3.5”,True,False
RAG-full,214,model_number,WD20EURX,WD2003FRYD,False,False
RAG-full,216,model_number,AS40G-1TT-C,S40G,True,False
RAG-full,216,bus_type,PCIe 3.0 x4,NVME,False,False
RAG-full,235,interface_type,USB tipo A,USB-A,False,False
RAG-full,235,storage_connection_type,USB tipo A,USB-A,False,False
RAG-full,262,model_number,GP-ASM2NE2512GTTDR,GP-ASM2NE2512GTTDR,True,False
RAG-full,289,model_number,MU-PC2T0S/WW,T7TO500S0C,False,False
RAG-full,368,bus_type,PCIe 2.0,PCIe 2.0 x16,True,False
RAG-full,368,form_factor,Low profile,PCIe x16,False,False
RAG-full,453,model_number,WD40EFAX,WD40EFRX,False,False
RAG-full,467,model_number,WDS200T1R0A,WDS242G1B0A,False,False
RAG-full,526,model_number,SDCZ71-032G-B35,SDCZ71-032G-B35,True,False
RAG-full,532,model_number,3813430,Intenso SSD SATA III High Performance - 120GB,False,False
RAG-full,713,model_number,ST14000NE0008,ST14000NE0007,False,False
RAG-full,713,interface_type,SATA,SATA,True,False
RAG-full,719,model_number,ST1800MM0129,ST1800MM0129,True,False
RAG-full,730,model_number,HDWQ140UZSVA,HDWD240UZSVA,False,False
RAG-full,734,model_number,SKC2000M8 / 500G,SKC2000M8 / 500G,True,False
RAG-full,739,bus_type,PCIe 4.0,PCIe 4.0,True,False
RAG-full,754,form_factor,"1""",External,False,False
RAG-full,806,bus_type,PCIe 3.0 x16,PCIe 3.0 x16,True,False
RAG-full,806,form_factor,Full-height,Desktop,False,False
RAG-full,810,model_number,MZ-V7S250BW,MZ-V7E250BW,False,False
